text,sentiment
This app crashes frequently,negative
The movie was boring,negative
Excellent experience overall,positive
Best purchase I have made,positive
I regret buying this,negative
The movie was boring,negative
The product arrived yesterday,neutral
The product arrived yesterday,neutral
Extremely frustrating experience,negative
Extremely frustrating experience,negative
I watched the movie today,neutral
I hate this product,negative
Very happy with the quality,positive
The service was amazing and fast,positive
I regret buying this,negative
I absolutely loved this product,positive
This app crashes frequently,negative
Very disappointed with the quality,negative
I enjoyed every moment,positive
This app works perfectly,positive
Not worth the money,negative
Average experience overall,neutral
Best purchase I have made,positive
The meeting was held online,neutral
The package was delivered,neutral
Excellent experience overall,positive
Very disappointed with the quality,negative
The movie was boring,negative
I enjoyed every moment,positive
This app works perfectly,positive
I hate this product,negative
Customer support was very helpful,positive
This app works perfectly,positive
Very happy with the quality,positive
The product arrived yesterday,neutral
The meeting was held online,neutral
Excellent experience overall,positive
Not worth the money,negative
Not worth the money,negative
Highly recommended to everyone,positive
Excellent experience overall,positive
I enjoyed every moment,positive
Very happy with the quality,positive
Very disappointed with the quality,negative
Not worth the money,negative
This app works perfectly,positive
Excellent experience overall,positive
The service was amazing and fast,positive
Extremely frustrating experience,negative
Customer support was rude,negative
I watched the movie today,neutral
Extremely frustrating experience,negative
The food was served hot,neutral
Customer support was very helpful,positive
Customer support was rude,negative
Very disappointed with the quality,negative
I used the product twice,neutral
Excellent experience overall,positive
Very happy with the quality,positive
Customer support was rude,negative
Extremely frustrating experience,negative
I hate this product,negative
Worst experience ever,negative
The product arrived yesterday,neutral
The service was terrible,negative
Extremely frustrating experience,negative
The update was released today,neutral
I used the product twice,neutral
The service was amazing and fast,positive
The product arrived yesterday,neutral
Highly recommended to everyone,positive
Extremely frustrating experience,negative
The package was delivered,neutral
It works as expected,neutral
I enjoyed every moment,positive
The movie was fantastic,positive
This app crashes frequently,negative
The service was amazing and fast,positive
The update was released today,neutral
Customer support was very helpful,positive
Very happy with the quality,positive
Not worth the money,negative
I absolutely loved this product,positive
This app crashes frequently,negative
Worst experience ever,negative
This app crashes frequently,negative
Extremely frustrating experience,negative
Highly recommended to everyone,positive
Customer support was rude,negative
Excellent experience overall,positive
I enjoyed every moment,positive
The package was delivered,neutral
This app works perfectly,positive
Average experience overall,neutral
I regret buying this,negative
Very disappointed with the quality,negative
Extremely frustrating experience,negative
I enjoyed every moment,positive
I enjoyed every moment,positive
Highly recommended to everyone,positive
